Name des Begünstigten,Ort,Bezeichnung des Vorhabens,Beginn des Vorhabens,Ende des Vorhabens,Gewährte öffentliche Beträge in EUR
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,15.06.2010 , 31.03.2011,"103.691,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,20.05.2010 , 31.10.2011,"186.167,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,01.11.2010 , 30.09.2012,"226.356,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Kinderbetreuung an hessischen Hochschulen,16.10.2010 , 31.12.2014,"671.600,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,01.06.2011 , 31.12.2014,"569.100,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,01.06.2011 , 31.10.2012,"200.907,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Qualifizierung in der Altenpflege,01.01.2012 , 31.12.2014,"386.300,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Verbesserung des Ausbildungsumfeldes,15.09.2011 , 31.03.2012,"45.480,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Qualifizierung von Beschäftigten in KMU,01.08.2012 , 31.12.2014,"587.900,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,01.06.2012 , 30.06.2013,"151.748,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,"Übergang Hochschule zum Arbeitsmarkt und
Lebenslanges Lernen",01.03.2012 , 30.06.2015,"981.700,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,01.07.2012 , 31.10.2013,"201.924,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,01.06.2013 , 31.10.2014,"202.600,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,15.05.2014 , 30.06.2015,"174.800,00"
"Johann Wolfgang Goethe-Universität
Frankfurt am Main -Der Präsident-",Frankfurt am Main,"Übergang Hochschule zum Arbeitsmarkt und
Lebenslanges Lernen",01.09.2013 , 28.02.2015,"259.100,00"
Jugend- und Drogenberatung Limburg e. V.,Weilburg,Perspektive II,01.07.2008 , 31.12.2010,"286.405,00"
Jugend- und Drogenberatung Limburg e. V.,Weilburg,Perspektive II,01.01.2011 , 31.12.2013,"264.956,00"
Jugend- und Drogenberatung Limburg e. V.,Weilburg,Perspektive II,01.01.2014 , 31.12.2014,"94.800,00"
Jugendwerkstatt Felsberg e.V.,Felsberg,Ausbildung in der Migration,01.01.2008 , 31.07.2012,"451.400,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,01.06.2012 , 30.06.2013,"151.748,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,"Übergang Hochschule zum Arbeitsmarkt und
Lebenslanges Lernen",01.03.2012 , 30.06.2015,"981.700,00"
"Johann Wolfgang Goethe-Universität Der
Präsident",Frankfurt am Main,Studien und Modelle in der Bildung,01.07.2012 , 31.10.2013,"201.924,00"
