Name des Begünstigten/beneficiary name,Bezeichnung des Vorhabens/operation name,Zusammenfassung des Vorhabens/operation summary,Datum des Beginns des Vorhabens/operation start date,Datum des Endes des Vorhabens/operation end date,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens/total eligible expenditure allocated to the operation,Postleitzahl des Vorhabens/operation postcode,Land/country,Bezeichnung der Interventionskategorie für das Vorhaben/name of category of intervention for the operation,Spezifisches Ziel/specific objective,Internet-Adresse des Vorhabens/website of the operation
Bildungspark Heilbronn-Franken gGmbH ,K2B TP4,"Kooperative Berufsorientierung Bildungspark
     Ziel des Projekte ist es, die SchülerInnen umfänglich über Berufe/Berufsfelder zu informieren, ihre Kompetenzen herauszuarbeiten und zu fördern und mit ihnen die Berufswegeplanung zu beginnen.",22.06.2015,31.07.2017,"385.794,92",74076,Deutschland,118,C 4.1,www.bildungspark.de
Bildungspark Heilbronn-Franken gGmbH ,Migranten+B.Bildung,"""Von A nach B"": Beratung und Unterstützung von Eltern mit Migrationshintergrund und deren Kinder bei Berufswahl, Übergang und beruflicher Qualifikation (auch der Eltern)",01.05.2015,30.04.2018,"348.608,24",74076,Deutschland,106,A 5.1,www.bildungspark.de
Bildungspartner für Südbaden Jürgen Volz,Fachkurse,Förderprogramm Fachkurse 2015,01.01.2015,31.08.2015,"0,00",79100,Deutschland,106,A 5.1,www.bp-sb.de
Bildungswerk des Verkehrsgewerbes Baden GmbH,Fachkurse,Förderprogramm Fachkurse 2015-2016,01.09.2015,31.08.2016,"798.070,00",79108,Deutschland,106,A 5.1,www.bvbgmbh.de
Bildungswerk des Verkehrsgewerbes Baden GmbH,Fachkurse,Förderprogramm Fachkurse 2015,01.06.2015,31.08.2015,"27.200,00",79108,Deutschland,106,A 5.1,www.bvbgmbh.de
Biloba IT Balleyer & Lohrmann GbR,Coaching,Förderprogramm Coaching 2015,15.10.2015,14.10.2016,"12.000,00",73728,Deutschland,106,A 5.1,www.biloba-it.de
Binkert Haustechnik GmbH  ,Coaching,Förderprogramm Coaching 2015,27.03.2015,27.09.2016,"12.000,00",79774,Deutschland,106,A 5.1,www.binkert.de
Binkert Heizung Lüftung Sanitär GmbH ,Coaching,Förderprogramm Coaching 2015,26.03.2015,27.09.2016,"12.000,00",79822,Deutschland,106,A 5.1,www.binkert.de
BioVitalPark GmbH  ,Coaching,Förderprogramm Coaching 2015,01.12.2015,30.04.2016,"12.000,00",88085,Deutschland,106,A 5.1,www.wolframwaescher.de
Birgit Bieg  ,Coaching,Förderprogramm Coaching 2015,31.03.2015,30.03.2016,"12.000,00",72135,Deutschland,106,A 5.1,www.bemer-partner.com
Bistro Bad Blau  ,Coaching,Förderprogramm Coaching 2016,05.04.2016,31.03.2017,"9.000,00",89134,Deutschland,106,A 5.1,www.badblau.de
Bleher Folientechnik GmbH  ,Coaching,Förderprogramm Coaching 2015,16.03.2015,15.03.2016,"12.000,00",71254,Deutschland,106,A 5.1,www.bleher.com
Blum Präzisionstechnik e.Kfm. ,Coaching,Förderprogramm Coaching 2016,02.05.2016,02.01.2017,"9.000,00",78662,Deutschland,106,A 5.1,www.blum-praezision.de
Brauerei Zoller Hof Graf-Fleischhut GmbH & Co. KG,Coaching,Förderprogramm Coaching 2016,17.03.2016,31.12.2016,"9.000,00",72488,Deutschland,106,A 5.1,www.zoller-hof.de
Braun Sanitär Inh. Helga und Sascha Braun GbR,Coaching,Förderprogramm Coaching 2016,31.03.2016,30.09.2016,"9.000,00",74906,Deutschland,106,A 5.1,www.braun-sanitaertechnik.de
Brenner GmbH  ,Coaching,Förderprogramm Coaching 2015,13.05.2015,13.05.2016,"4.000,00",71083,Deutschland,106,A 5.1,www.rkw-bw.de
Brenner-Bau GmbH+Co.KG Bauunternehmen und Fertigteile,Coaching,Förderprogramm Coaching 2015,30.11.2015,30.11.2016,"12.000,00",73434,Deutschland,106,A 5.1,www.brenner-bau-aalen.de
BruderhausDiakonie Stiftung Gustav Werner und Haus am Berg,ProSA-CW2015,"ProSA-CW2015
      Verbesserung der Ausbildungsfähigkeit und der gesellschaftlichen Integration durch individuelle Unterstützung und Netzwerkarbeit, passgenaue Hilfsangebote, den Schulabschluss und Hilfen zum Einstieg in schulische und berufliche Bildung.",01.01.2015,31.12.2015,"108.285,81",75365,Deutschland,115,C 1.1,www.bruderhausdiakonie.de
BruderhausDiakonie Stiftung Gustav Werner und Haus am Berg,Coaching2gether,"JAA - Jugendliche in Ausbildung und Arbeit - Beratung und Unterstützung durch die Jugendagenturen - Anlaufstellen Kirchheim/Nürtingen
     Modul 3: Coaching2gether",01.01.2016,31.12.2016,"65.583,04",72622,Deutschland,115,C 1.1,.
BruderhausDiakonie Stiftung Gustav Werner und Haus am Berg,Aufbruch-Zukunft,Aufbruch in die Zukunft,01.01.2015,31.12.2015,"104.561,32",73033,Deutschland,115,C 1.1,www.bruderhausdiakonie.de
BruderhausDiakonie Stiftung Gustav Werner und Haus am Berg,Eintritt i.d.Zukunft,"Zukunftswege
    ""Eintritt in die Zukunft""; Projekt zur Verhinderung von Schulabbrüchen in enger Kooperation mit unterschiedlichsten Institutionen und AkteurInnen im Bereich Schule und außerschulischer Bildung, sowie SprachbegleiterInnen.",01.01.2016,31.12.2016,"103.191,46",73033,Deutschland,115,C 1.1,www.bruderhausdiakonie.de
BruderhausDiakonie Stiftung Gustav Werner und Haus am Berg,Retour 2016,Retour-Gebrauchswarenbörse und Dienstleistungen rund ums Haus,01.01.2016,31.12.2016,"142.383,73",72072,Deutschland,109,B 1.1,.
BruderhausDiakonie Stiftung Gustav Werner und Haus am Berg,ProSA-CW2016,ProSA-CW2016,01.01.2016,31.12.2016,"107.328,20",75351,Deutschland,115,C 1.1,NA
BruderhausDiakonie Stiftung Gustav Werner und Haus am Berg,RETOUR 2015,RETOUR - Gebrauchtwarenbörse und Dienstleistungen rund ums Haus,01.01.2015,31.12.2015,"171.827,72",72072,Deutschland,109,B 1.1,.
Bruno Steingräber Import-Export ,Coaching,Förderprogramm Coaching 2015,07.04.2015,30.09.2015,"12.000,00",79400,Deutschland,106,A 5.1,www.ginger-rose.de
Brückenhaus e.V.  ,JAA - Modul  2_2016,"""Jugendliche in Ausbildung und Arbeit - Beratung und Unterstützung durch die Jugendagentur Modul 2: Anlaufstelle Kirchheim""",01.01.2016,31.12.2016,"90.000,00",73230,Deutschland,115,C 1.1,.
Brückenhaus e.V.  ,JAA Modul 2,JAA-Modul 2 - Jugendliche in Ausbildung und Arbeit - Beratung und Unterstützung durch die Jugendagentur Modul 2: Anlaufstelle,01.01.2015,31.12.2015,"90.000,00",73230,Deutschland,115,C 1.1,.
Buchbinderei Albrecht  ,Coaching,Förderprogramm Coaching 2015,07.12.2015,07.12.2016,"8.000,00",88255,Deutschland,106,A 5.1,www.rkw-bw.de
Buchdruckerei Karl Henzler GmbH ,Coaching,Förderprogramm Coaching 2016,20.02.2016,19.02.2017,"9.000,00",72622,Deutschland,106,A 5.1,www.druckerei-henzler.de
Buchmann GmbH  ,Coaching,Förderprogramm Coaching 2015,18.05.2015,31.12.2015,"12.000,00",88287,Deutschland,106,A 5.1,www.buchmann-gmbh.de
Buchmann GmbH  ,Coaching,Förderprogramm Coaching 2016,01.04.2016,30.11.2016,"9.000,00",88287,Deutschland,106,A 5.1,www.buchmann-gmbh.de
Bulling GmbH  ,Coaching,Förderprogramm Coaching 2016,13.01.2016,31.12.2016,"9.000,00",75180,Deutschland,106,A 5.1,www.bulling.de
Business Catering Freiburg GmbH ,Coaching,Förderprogramm Coaching 2015,01.09.2015,01.09.2016,"12.000,00",79108,Deutschland,106,A 5.1,www.businesscatering-freiburg.de
Butsch GmbH  ,Coaching,Förderprogramm Coaching 2015,19.05.2015,19.05.2016,"12.000,00",89542,Deutschland,106,A 5.1,www.autohaus-butsch.de
Bäcker Baier Inh. Jochen Baier ,Coaching,Förderprogramm Coaching 2015,13.05.2015,13.05.2016,"12.000,00",71083,Deutschland,106,A 5.1,www.baecker-baier.de
Bäckerei Abele e.K. Inhaber Gerd Weber ,Coaching,Förderprogramm Coaching 2015,01.12.2015,30.11.2016,"12.000,00",76571,Deutschland,106,A 5.1,www.baeckerei-abele.de
Bäckerei Dussinger GmbH  ,Coaching,Förderprogramm Coaching 2015,25.08.2015,24.08.2016,"12.000,00",74909,Deutschland,106,A 5.1,www.bwhm-beratung.de
Bäckerei Matthias Pfrommer ,Coaching,Förderprogramm Coaching 2016,12.01.2016,06.12.2016,"9.000,00",75365,Deutschland,106,A 5.1,www.baeckerei-pfrommer.de
Bäckerei Stadelhofer Inh. Eric Stadelhofer ,Coaching,Förderprogramm Coaching 2015,01.04.2015,30.09.2016,"12.000,00",78224,Deutschland,106,A 5.1,www.stadelhofer.de
Bäckerei-Konditorei Sailer GmbH ,Coaching,Förderprogramm Coaching 2015,22.07.2015,20.07.2016,"12.000,00",70367,Deutschland,106,A 5.1,www.baeckerei-sailer.de
Bäckerei-Konditorei Sailer GmbH ,Coaching,Förderprogramm Coaching 2016,20.01.2016,20.01.2017,"9.000,00",70376,Deutschland,106,A 5.1,www.baeckerei-sailer.de
Bär Werkzeug- und Formenbau GmbH ,Coaching,Förderprogramm Coaching 2015,16.03.2015,31.12.2016,"12.000,00",71272,Deutschland,106,A 5.1,www.baer-gmbh.de
Bäramed Instrumente GmbH  ,Coaching,Förderprogramm Coaching 2015,08.04.2015,08.04.2016,"12.000,00",72477,Deutschland,106,A 5.1,www.baeramed.de
Bäuerle Stahlbau GmbH  ,Coaching,Förderprogramm Coaching 2015,02.06.2015,01.06.2016,"8.800,00",73447,Deutschland,106,A 5.1,www.baeuerle-stahlbau.de
Bürck & Habich Logistik GmbH & Co. KG ,Coaching,Förderprogramm Coaching 2016,29.04.2016,29.04.2017,"9.000,00",77855,Deutschland,106,A 5.1,www.buerck-habich.de
BürgerEnergiegenossenschaft Biederbach & Elztal eG ,Coaching,Förderprogramm Coaching 2015,03.11.2015,28.10.2016,"2.400,00",79215,Deutschland,106,A 5.1,www.buergerenergie-biederbach.de
Bürgerwerke eG  ,Coaching,Förderprogramm Coaching 2015,23.07.2015,01.03.2016,"12.000,00",69123,Deutschland,106,A 5.1,www.buergerwerke.de
CATO GmbH & Co.KG  ,Coaching,Förderprogramm Coaching 2015,20.04.2015,19.04.2016,"2.400,00",88444,Deutschland,106,A 5.1,www.cato-info.eu
CE-Immundiagnostika GmbH  ,Coaching,Förderprogramm Coaching 2016,18.03.2016,13.03.2017,"9.000,00",74927,Deutschland,106,A 5.1,www.ce-immundiagnostika.com
CJD Bodensee-Oberschwaben  ,PROFIL,"PROFIL - Profiling, Ressourcenbestimmung, Orientierung und Fachpraxis im Leben von anerkannten Flüchtlingen",01.01.2016,31.12.2016,"163.700,00",88214,Deutschland,109,B 1.1,.
CJD Bodensee-Oberschwaben e.V. im christl. Jugenddorfwerk,FAMOS,"FAMOS - Familie, Teilzeitausbildung mit Marktorientierungsstrategie",01.01.2015,31.12.2017,"2.054.994,09",88045,Deutschland,103,A 2.1,www.cjd-bodensee-oberschwaben.de
CJD Bodensee-Oberschwaben e.V. im christl. Jugenddorfwerk,VABO-Lotsen,VABO-Lotsen - Brückenbau für junge Flüchtlinge/Neuzuwanderer - ein Projekt zur sozialpädagogischen Begleitung und individuellen Förderung durch Sprachförderung und Berufsorientierung an den beruflichen Schulen im Bodenssekreis:VABO-Losten als Brückenbauer,01.01.2016,31.12.2017,"428.494,59",88045,Deutschland,115,C 1.1,.
CJD Bodensee-Oberschwaben e.V. im christl. Jugenddorfwerk,Neu am Start,Neu am Start - In der Schule. Ein Projekt von aktiver und passiver Schulverweigerung.,01.01.2015,31.12.2015,"156.000,00",88662,Deutschland,115,C 1.1,.
CJD Bodensee-Oberschwaben e.V. im christl. Jugenddorfwerk,WwW,WwW - Wir wollens wissen,01.01.2015,31.12.2015,"112.600,00",88326,Deutschland,115,C 1.1,.
CK-Form GmbH  ,Coaching,Förderprogramm Coaching 2015,10.04.2015,10.10.2016,"12.000,00",74889,Deutschland,106,A 5.1,www.ck-form.de
CNC-Automation Würfel GmbH ,Coaching,Förderprogramm Coaching 2015,04.09.2015,14.08.2016,"4.800,00",78224,Deutschland,106,A 5.1,www.cncautomation.de
CONIAS Risk Intelligence  ,Coaching,Förderprogramm Coaching 2015,19.08.2015,31.07.2016,"12.000,00",68163,Deutschland,106,A 5.1,www.conias.de
CabConnex Lindenbauer Mechanic GmbH ,Coaching,Förderprogramm Coaching 2015,01.06.2015,30.11.2016,"12.000,00",72224,Deutschland,106,A 5.1,www.cabconnex.com
Cafe Königsbau Dr. Stefan Rösslein GmbH & Co. KG,Coaching,Förderprogramm Coaching 2015,23.03.2015,22.03.2016,"12.000,00",70173,Deutschland,106,A 5.1,www.koenigsbau-cafe.de
Cafe Restaurant Bootshaus Inh. Roberto Cosentino ,Coaching,Förderprogramm Coaching 2015,27.04.2015,26.04.2016,"12.000,00",72488,Deutschland,106,A 5.1,www.bootshaus-sigmaringen.de
Campingplatz Sandseele OHG ,Coaching,Förderprogramm Coaching 2015,09.04.2015,08.04.2016,"12.000,00",78479,Deutschland,106,A 5.1,www.sandseele.de
CarTech GmbH  ,Coaching,Förderprogramm Coaching 2015,12.03.2015,12.03.2016,"4.000,00",70736,Deutschland,106,A 5.1,www.cartech-fellbach.de
CarboFibretec GmbH  ,Coaching,Förderprogramm Coaching 2015,26.08.2015,26.08.2016,"12.000,00",88046,Deutschland,106,A 5.1,www.carbofibretec.de
CarbonSports GmbH  ,Coaching,Förderprogramm Coaching 2015,26.08.2015,25.08.2016,"12.000,00",88046,Deutschland,106,A 5.1,www.carbofibretec.de
Caritas Ulm  ,SoCo ADK 2016,"Das Projekt ""SoCo - Sozialberatung und Coaching"" ist ein bedarfsorientiertes Angebot mit offener Beratung, intensivem Coaching und wöchentlichen Gruppenangeboten für langzeitarbeitslose Menschen.",01.01.2016,31.12.2016,"72.070,58",89073,Deutschland,109,B 1.1,.
Caritas Ulm  ,SoziCo 2.0 ADK 2015,"Sozialcoaching 2.0 ADK 2015 - ist ein bedarfsorientiertes Coaching, das in 2 Modulen Gesundheit bzw. Sozialcoaching umgesetzt wird. Beide beinhalten Einzelcoaching und Gruppenangebote mit dem Ziel der Reduktion von Vermittlunghemmnissen",01.01.2015,31.12.2015,"67.498,36",89584,Deutschland,109,B 1.1,.
Caritasverband Freiburg-Stadt e.V. ,Sekost 2016,"Sekost - Stärkung der Eigenaktivität der Schülerinnen und Schüler in VAB / BEJ / BK /Koop und Aufbau, Pflege und Weiterentwicklung einer Betriebsdatenbank zur Systematisierung der Betriebskontakte.",01.01.2016,31.12.2016,"97.146,90",79114,Deutschland,115,C 1.1,www.caritas-freiburg.de
Caritasverband Freiburg-Stadt e.V. ,Sekost 2015,Stärkung der Eigenaktivität der Schülerinnen und Schüler in VAB/BEJ/BK und Aufbau einer Betriebsdatenbank zur zur Systematisierung der Betriebskontakte,01.01.2015,31.12.2015,"97.232,06",79114,Deutschland,115,C 1.1,www.caritas-freiburg.de
Caritasverband Freiburg-Stadt e.V. ,ReProf Inklusiv 2016,"ReProf - Inklusiv: Angebot zur Beschäftigungsförderung, Existenzsicherung, Sicherung von Teilhabe für Menschen, die besonders von Armut und Ausgrenzung bedroht sind durch psychosoziale Unterstützung sowie arbeitsplatzorientierte Qualifizierung.",01.01.2016,31.12.2016,"419.494,83",79111,Deutschland,109,B 1.1,www.caritas-freiburg.de
Caritasverband Freiburg-Stadt e.V. ,ReproF-Inklusiv,"ReProF-Inklusiv
   Angebot zur Beschäftigungsförderung, Existenzsicherung, Sicherung von Teilhabe für Menschen, die besonders von Armut und Ausgrenzung bedroht sind durch psychosoziale Unterstützung und arbeitsplatzorientierte Qualifizierung.",01.01.2015,31.12.2015,"428.193,32",79111,Deutschland,109,B 1.1,www.caritas-freiburg.de
Caritasverband Heidelberg e.V. ,Neue Wege pflegen 15,Neue Wege pflegen 2015 - Zukunftschancen einer alternden Gesellschaft,01.01.2015,31.12.2015,"97.770,12",69126,Deutschland,109,B 1.1,www.caritasverband-heidelberg.de
Caritasverband Heidelberg e.V. ,Neue Wege pflegen 16,"Neue Wege pflegen in einer bunten Gesellschaft - Erarbeiten beruflicher Perspektiven in der Altenhilfe, Unterricht, Seminar, Praktika, sozialpädagogische Begleitung.",01.01.2016,31.12.2016,"89.000,00",69126,Deutschland,109,B 1.1,www.caritasverband-heidelberg.de
Caritasverband Konstanz e.V. ,Kunststück 2015,"Kunststück 2015
      Ein Projekt zur Aktivierung alleinerziehender Frauen",01.01.2015,31.12.2015,"155.000,00",78464,Deutschland,109,B 1.1,www.caritas-konstanz.de
Caritasverband Konstanz e.V. ,Kunststück 2016,Kunststück 2016 - ein Projekt zur Aktivierung alleinerziehender Frauen,01.01.2016,31.12.2016,"148.000,00",78464,Deutschland,109,B 1.1,www.caritas-konstanz.de
Caritasverband der Diözese Rottenburg-Stuttgart e.V. ,Restart 2.0,"Restart 2.0 - Begleitung, Coaching und berufliche Eingliederung von bleibeberechtigten Flüchtlingen im Landkreis Heidenheim",01.01.2016,31.12.2017,"471.179,58",89518,Deutschland,109,B 1.1,www.dicv-rottenburg-stuttgart.caritas.de
Caritasverband der Diözese Rottenburg-Stuttgart e.V. ,AQUA-Modular plus,"AQUA Modular plus
    Qualifizierung zu Begleitpersonen für Demenzkranke nach den Richtlinien des §87b SGB XI.
    Stabilisierung der Lebensverhältnisse, Existenzsicherung durch Vermittlung in Beschäftigung.",01.01.2016,31.12.2016,"107.141,70",73033,Deutschland,109,B 1.1,www.caritas-fils-neckar-alb.de
Caritasverband der Diözese Rottenburg-Stuttgart e.V. ,Restart,"Restart - Beratung, Coaching und berufliche Eingliederung von bleibeberechtigten Flüchtlingen im Landkreis Heidenheim",01.01.2015,31.12.2015,"259.191,13",89518,Deutschland,109,B 1.1,www.dic-rottenburg-stuttgart.caritas.de
Caritasverband der Diözese Rottenburg-Stuttgart e.V. ,AQUA Modular plus,AQUA Modular plus,01.01.2015,31.12.2015,"108.486,97",73033,Deutschland,109,B 1.1,www.dicv-rottenburg-stuttgart.caritas.de
Caritasverband der Diözese Rottenburg-Stuttgart e.V. ,SoziCo 2.0 Ulm 2015,"Sozialcoaching 2.0 Ulm 2015 - ist ein bedarfsorientiertes Coaching, dass in zwei Modulen Gesundheit bzw. Sozialcoaching umgesetzt wird. Beide beinhalten Einzelcoaching und Gruppenangebote mit dem Ziel der Reduktion von Vermittlungshemmnissen.",01.01.2015,31.12.2016,"70.676,50",89073,Deutschland,109,B 1.1,.
Caritasverband der Diözese Rottenburg-Stuttgart e.V. ,Integra Horb 2015,"INTEGRA: Ein Eingliederungs- und Qualifizierungsprojekt zur Erhöhung der Beschäftigungsfähigkeit für langzeitarbeitslose Männer und Frauen, das an den Tafelladen und das Begegnungshaus ParaDios mit Second-Hand- und Eine-Welt-Laden angegliedert ist.",01.01.2015,31.12.2016,"115.236,60",72160,Deutschland,109,B 1.1,www.caritas-schwarzwald-gaeu.de
Caritasverband der Diözese Rottenburg-Stuttgart e.V. ,JuFA - Fit i.d. Beru,JuFA - Fit in den Beruf - Vermittlung und Begleitung von jungen Flüchtlingen in Ausbildung,01.02.2016,31.01.2018,"444.709,88",72764,Deutschland,103,A 2.1,.
Caritasverband der Diözese Rottenburg-Stuttgart e.V. Caritas Ludwigsburg-,Fallmanagement,"Fallmanagement zur Reduzierung von Schulverweigerung und Schulabbruch.
       Zusammen mit Staatlichem Schulamt, den Schwerpunktschulen, ASD, Beratungseinrichtungen ect. werden schulverweigernde Schülerinnen ab den Klasse 7 wieder integriert.",01.01.2016,31.12.2016,"257.121,22",71634,Deutschland,115,C 1.1,.
Caritasverband der Diözese Rottenburg-Stuttgart e.V. Caritas Ludwigsburg-,Fallmanagement 2015,"Fallmanagement - Zur Reduzierung von Schulverweigerung und Schulabbruch. Zusammen mit Staatlichem Schulamt, den Schwerpunktschulen, ASD, Beratungseinrichtungen sollen schulverweigernde Schülerinnen ab Klasse 7 wieder integriert werden.",01.01.2015,31.12.2015,"263.547,75",71634,Deutschland,115,C 1.1,.
Caritasverband der Diözese Rottenburg-Stuttgart e.V. Caritas Ludwigsburg-,SAM,Soziales AlltagsManagement - aufsuchendes Casemanagement für Langzeitarbeitslose und besonders von Armut und Ausgrenzung betroffenen Personen.,01.01.2015,31.12.2016,"187.686,91",74321,Deutschland,109,B 1.1,.
Caritasverband f.d. Ldkr. Breisgau-Hochschwarzwald e.V.,A5,A5 - Achtung und Akzeptanz für Asylsuchende durch Arbeit und Ausbildung,01.01.2016,31.12.2017,"176.380,52",79111,Deutschland,109,B 1.1,www.caritas-breisgau-hochschwarzwald.de
Caritasverband f.d. Ldkr. Breisgau-Hochschwarzwald e.V.,IFG,IFG (Integration von Flüchtlingen in das Gemeinwesen): Solidarisches Miteinander bei der (Erwerbs-) Integration von arbeitssuchenden Menschen mit Fluchtschicksalen in 6 Gemeinden im Landkreis Breisgau-Hochschwarzwald,01.01.2015,31.12.2015,"79.527,34",79111,Deutschland,109,B 1.1,www.caritas-breisgau-hochschwarzwald.de
Caritasverband für Stuttgart e.V. ,NIL 2.0,NIL 2.0 - Nachhaltige Integration langzeitarbeitloser Menschen anhand unseres modularen Phasenmodells in weiterentwickelter Form.,01.01.2015,31.12.2017,"2.110.500,00",70469,Deutschland,102,A 1.1,.
Caritasverband für den Landkreis Karlsruhe Bezirksverband Bruchsal e.V,SELF,"SELF - Das Konzept SELF reagiert auf den steigenden Bedarf der immer schwächer werdenden Zielgruppe der SGB II Kunden, damit diese aus eigener Kraft (SELF) die Verantwortung für ihre Tagesstruktur und die Familie wieder übernehmen",01.01.2015,31.12.2016,"377.356,04",76646,Deutschland,109,B 1.1,www.caritas-bruchsal.de
Caritasverband für den Landkreis Karlsruhe Bezirksverband Bruchsal e.V,NAVI,"NAVI soll einerseits vom Schul- /Ausbildungsabbruch bedrohte Jugendliche und junge Erwachsene motivieren/ unterstützen im Regelsystem zu verbleiben bzw. in dieses zurückkehren, d.h. Schule /Ausbildung erfolgreich abschließen und im Berufsleben Fuß fassen",01.01.2015,31.12.2016,"634.114,22",76646,Deutschland,115,C 1.1,www.caritas-bruchsal.de
Caritasverband für den Landkreis Rastatt e.V. ,ELIAS 2016,"ELIAS - Eigenveranwortliche Lernentwicklung und individuelle Aktivierung von Schulverweigerern: Reintegration in die Schule durch verschiedene Maßnahmen wie Erlebnispädagogik, Unterricht, Elternarbeit etc.",01.01.2016,31.12.2016,"99.145,32",76437,Deutschland,115,C 1.1,www.caritas-rastatt.de
Caritasverband für den Landkreis Rastatt e.V. ,ELIAS 2015,"Eigenverantwortliche Lernentwicklung und individuelle Aktivierung von Schulverweigerern: Reintegration  in die Schule durch versch. Maßnahmen ((Erlebnis-)Pädagogik, Unterricht, Berufsorientierung, Elternarbeit etc.)",01.01.2015,31.12.2015,"120.448,48",76437,Deutschland,115,C 1.1,www.caritas-rastatt.de
Caritasverband für den Landkreis Rastatt e.V. ,ATOS 2015-2016,"Aktivierung, Teilhabe, Orientierung und Stabilisierung: Betreuung von langzeitarbeitslosen ALG-II-Empfängern (v.a. Alleinerziehende, psychisch Kranke) durch unterstützende Maßnahmen (Erh. der Leistungsfähigkeit, gesundh. Stabilisierung, Praktika)",01.01.2015,31.12.2016,"148.740,04",76437,Deutschland,109,B 1.1,www.caritas-rastatt.de
Caritasverband für den Landkreis Rastatt e.V. ,TANDEM! 2016,"TANDEM! Individuelle Betreuung v. benachteiligten Jugendlichen: Integration ins Schulsystem, Erreichung des Klassenziele und Erlangung des Schulabschlusses, Unterstützung bei Berufsorientierung und Ausbildungssuche, Vermeidung von Ausbildungsabbrüchen.",01.01.2016,31.12.2017,"57.938,64",76437,Deutschland,115,C 1.1,www.caritas-rastatt.de
Caritasverband für den Neckar-Odenwald-Kreis e.V. ,Fit for Job 2015-16,FIT FOR JOB 2015 - 2016,01.01.2015,31.12.2016,"244.231,28",74821,Deutschland,109,B 1.1,www.caritas-nok.de
Caritasverband für den Schwarzwald-Baar-Kreis e.V. ,Bildungsbegleitung,"Bildungsbegleitung

      Das Projekt nimmt Schülerinnen mit einer Lernbehinderung ab der 7. Klasse an 3 Förderschulen in den Blickpunkt. Ziel ist die Vermeidung des Schulabbruchs und die Verbesserung der Ausbildungsfähigkeit.",01.01.2015,31.12.2016,"209.395,12",78166,Deutschland,115,C 1.1,www.caritas-sbk.de
Carl Pfeiffer GmbH & Co.KG  ,Coaching,Förderprogramm Coaching 2015,10.07.2015,06.07.2016,"12.000,00",78333,Deutschland,106,A 5.1,www.eisen-pfeiffer.de
Celanio GmbH  ,Coaching,Förderprogramm Coaching 2015,05.10.2015,04.10.2016,"12.000,00",76131,Deutschland,106,A 5.1,www.celanio.com
Chalupa Solartechnik GmbH & Co KG ,Coaching,Förderprogramm Coaching 2015,21.10.2015,20.10.2016,"4.000,00",74214,Deutschland,106,A 5.1,www.chalupa-solartechnik.de
Christian Aker Spedition GmbH & Co. KG ,Coaching,Förderprogramm Coaching 2015,16.11.2015,15.11.2016,"12.000,00",78136,Deutschland,106,A 5.1,www.aker-spedition.de
Christina Demuth  ,Coaching,Förderprogramm Coaching 2015,29.05.2015,27.08.2016,"12.000,00",73732,Deutschland,106,A 5.1,www.neo-hotel.de
Christina Demuth  ,Coaching,Förderprogramm Coaching 2015,10.08.2015,10.08.2016,"12.000,00",73732,Deutschland,106,A 5.1,www.neo-hotel.de
Christlichen Jugenddorf Deutschland e.V. (CJD) ,BOBiE 2015 - 2016,"Berufliche Orientierung und Beratung in der Elternzeit: Niederschwelliges Orientierungs- und Beratungsangebot für Eltern, die ein Kind unter drei Jahren erziehen und in den ersten Arbeits- und Ausbildungsmarkt (wieder)einsteigen wollen.",01.01.2015,31.12.2016,"178.444,20",76133,Deutschland,109,B 1.1,www.CJD-Karlsruhe.de
Christlichen Jugenddorf Deutschland e.V. (CJD) ,TZ-Ausbild LKR 2015,"Teilzeitausbildung im Landkreis Karlsruhe 2015
    Überwindung von Armut und Beendigung der Hilfebedürftigen (alleinerziehender) Eltern",01.01.2015,31.12.2015,"198.533,31",76133,Deutschland,109,B 1.1,www.cjd-maximilliansau.de
Christlichen Jugenddorf Deutschland e.V. (CJD) ,FidA,"FidA - Förderung der Integration auf dem deutschen Arbeitsmarkt für Menschen rumänischer und bulgarischer Herkunft, Verbesserung der gleichberechtigten Teilnahme und der chancengleichen Teilhabe am Arbeits-, Ausbildungs- und Wohnungsmarkt.",01.01.2016,31.12.2016,"106.557,46",76133,Deutschland,109,B 1.1,www.cjd-karlsruhe.de
Christlichen Jugenddorf Deutschland e.V. (CJD) ,BOBIE,"BOBIE - Berufliche Orientierung und Beratung in der Elternzeit: Niedrigschwelliges Orientierungs- und Beratungsangebot für Eltern, die ein Kind unter drei Jahren erziehen und in den ersten Arbeits- und Ausbildungsmarkt (wieder)einsteigen wollen.",01.01.2016,31.12.2016,"99.899,74",76133,Deutschland,109,B 1.1,www.cjd-karlsruhe.de
Christliches Jugenddorfwerk Deutschlands gemeinnütziger e.V. (CJD),JuFA Stuttgart,JuFA Stuttgart - Junge Flüchtlinge in Ausbildung,01.02.2016,31.01.2018,"168.000,00",70469,Deutschland,103,A 2.1,.
Chrom & Cool GmbH  ,Coaching,Förderprogramm Coaching 2015,18.05.2015,31.12.2016,"12.000,00",72415,Deutschland,106,A 5.1,www.chrom-cool.de
Claudia Röck  ,Coaching,Förderprogramm Coaching 2015,15.07.2015,14.07.2016,"0,00",73430,Deutschland,106,A 5.1,www.die-neue-tanzschule.de
Comatec GmbH  ,Coaching,Förderprogramm Coaching 2015,22.07.2015,20.07.2016,"12.000,00",78048,Deutschland,106,A 5.1,www.com-a-tec.de
