Begunstigde;Titel van het project (naam van de concrete actie);Titel van het project in het Engels;Fonds;Autoriteit;Medebegunstigde 1;Medebegunstigde 2;Medebegunstigde 3;Medebegunstigde 4;Medebegunstigde 5;Medebegunstigde 6;Medebegunstigde 7;Medebegunstigde 8;Medebegunstigde 9;Medebegunstigde 10;Samenvatting;Website project;EU-subsidie in Euro's;Overige publieke financiering;Overige private financiering;Totale kosten in Euro's;Medefinancieringspercentage van de Unie (per prioritaire as);Postcode;Straatnaam;Huisnummer;Land;Datum van laatste bijwerking;Begindatum;Einddatum;Thematische doelstelling
Gemeente Brummen;Herinrichting Stuijvenburchstraat e.o.;Redevelopment Stuijvenburchstraat e.o.;EFRO;;;;;;;;;;;;Met de herstructurering van het centrum van Eerbeek wordt beoogd de aantrekkelijkheid van het centrum te vergroten en de leefbaarheid van Eerbeek als een geheel op een duurzame manier een impuls te geven. Een aantrekkelijker centrum vergroot de levensvatbaarheid van de centrumvoorzieningen en bevordert de continuÃ¯teit. De huidige staat van de openbare ruimte en ook de doelmatigheid van de in de openbare ruimte aanwezige voorzieningen is verouderd en laat te wensen over. De herinrichting vergroot de bereikbaarheid van het woon- werkgebied en de aantrekkelijkheid van het vestigingsklimaat en biedt kansen voor verbetering van het voorzieningenniveau. De herinrichting van de Stuijvenburchstraat e.o. is onderdeel van het overkoepelende Centrumplan Eerbeek.;;200.000;;;1.274.770;16;;;;;13/03/16 14:39;01/08/14 00:00;31/07/15 00:00;
Stichting Ambiq;Leer- Werk Boerderij op het Gezondheidspark te Hengelo;Job experience to reconstruct a farm for educational purposes;EFRO;;;;;;;;;;;;Binnen het project wordt een vervallen boerderij opgeknapt tot leerwerkboerderij op het terrein van het Gezondheidspark. Hierin kunnen jongeren met een verstandelijke beperking, met een ontwikkelingsachterstand en/of met gedragsproblematiek begeleid worden in hun ontwikkeling naar de arbeidsmarkt (â€˜arbeidstoeleidingâ€™), met name op het gebied van de agrarische arbeidsmarkt, o.a. groenvoorziening, dierverzorging.;;191.271;233.775;;425.046;45;;;;;11/02/16 09:05;01/12/08 00:00;30/11/12 00:00;
Gemeente Borne;Fietssnelweg F35 Zenderen-Almelo;Buren voor de A1 - F35 Zenderen-Almelo;EFRO;;;;;;;;;;;;De Definitiefase: Trace studie gedaan naar de positieve en negatieve aspecten van het aanleggen van de fietssnelweg aan de oost- en westzijde van het spoor. De Regio Twente/gemeenteraad heeft op basis van dit document de keuze gemaakt om de fietssnelweg in dit deeltrace aan de zuid/westkant van het spoor aan te willen leggen.De Ontwerpfase: Het trace van F35 wordt getekend.De Voorbereidingsfase: Gronden worden aangekocht, ontwerp en bestek worden ontwikkeld.De Realisatiefase: Uitvoering civieltechnische werkzaamheden en toezicht op de uitvoering.De beheerfase: onderhoud F35.Communicatie: De F35 zal door middel van een communicatie plan onder de aandacht gebracht worden.;;238.930;175.070;;414.000;58;;;;;16/03/16 18:22;10/10/13 00:00;01/10/14 00:00;
Gemeente Enschede;Parkweg Enschede;Parkweg Enschede;EFRO;;;;;;;;;;;;Het opwaarderen van de Parkweg tussen de Volksparksingel en Lambertus Buddestraat en het vergroten van de veiligheid van de fietspaden conform de eisen voor het hoogwaardige fietsnetwerk Twente.;;250.000;150.000;;400.000;63;;;;;13/03/16 14:54;01/01/14 00:00;31/12/15 00:00;
Gemeente Apeldoorn;Brinkpark;Brinkpark;EFRO;;;;;;;;;;;;Het project behelst het herinrichten van het Brinkpark en de Brinklaan in Apeldoorn. Het park wordt bovenop de tevens nieuw aan te leggen parkeergarage gemaakt. De parkeergarage zorgt in combinatie met het park voor een belangrijke voorwaarde om tot een â€˜regionaal recreatief winkelgebiedâ€™ te komen. Het Brinkpark zal, als entree van de binnenstad, een zeer positief effect hebben op de binnenstad. De projectactiviteiten betreffen de civiel-technische werkzaamheden voor de herinrichting van het park en de Brinklaan.;;1.000.000;1.216.582;;2.216.582;45;;;;;11/02/16 09:05;01/06/11 00:00;31/03/13 00:00;
Gemeente Deventer;Poorten van Salland - Herinrichting Mr.H.F. de Boerlaan;Gates of Salland - Redevelopment Mr.H.F. de Boerlaan;EFRO;;;;;;;;;;;;Het vergroten van de verkeerscapaciteit op het Hanzetrace in Deventer. Beoogd door de verkeersstromen te verplaatsen naar de randen van de stad zodat in en om de binnenstad ruimte ontstaat voor een beter woon- leef- en verblijfsklimaat. Daarnaast wordt ook de bereikbaarheid van de werk- en woongebieden voor fietsers, OV en autoâ€™s verbeterd en wordt een economische en stedelijke vernieuwing in de schil van 19e en vroeg 20e eeuwse woon- en werkgebieden rond de binnenstad gecreeerd.;;300.000;800.000;;1.100.000;27;;;;;16/03/16 18:26;01/09/13 00:00;30/06/15 00:00;
Veiligheidsregio Zeeland;Hulpdiensten scheepvaart Westerschelde;Maritime Incident Response Groups-EU;EFRO;;;;;;;;;;;;"De Westerschelde is Ã©Ã©n van de drukst bevaren waterwegen ter wereld. De bochtige, smalle vaargeul en het getij maken het een lastig te bevaren rivier voor de oceaanreuzen op weg van en naar de Zeeuwse en Vlaamse havens. Veiligheidsmaatregelen zoals de Schelderadarketen en goed opgeleide loodsen zorgen evoor dat de schepen veilig hun weg vinden.Maar het kan misgaan, met mogelijk ernstige gevolgen voor de bemanning aan bood en de inwoners op het land. Snel en adequaat optreden van hulpdiensten kan veel leed voorkomen. Daarom heeft de Veiligheidsregio Zeeland het initiatief genomen voor het project Maritime Incident Respons Groups (MIRG). Samen met brandweerkorpsen uit Belgie, Frankrijk en Engeland zijn teams opgezet die getraind, geoefend en uitgerust zijn om incidenten, zoals brand of het vrijkomen van gas, aan boord van schepen onder controle te krijgen.Een jaar land volgden de mannen en vrouwen een intensief opleidingsprogramma. Ze oefenden op een scheepssimulator in Calais, leerden hoe ze met een helikopter aan boord van een schip kunnen worden gewincht en hoe ze met beperkte beschikbaarheid van materialen het incident kunnen beheersen. Het opleidingstraject, en daarmee het project, werd afgesloten met een grootschalige oefening op een cruiseferry op de Noordzee. Succesvol. Zeeland beschikt nu over een team dat paraat staat om in te grijpen.";;1.627.342;;;3.254.646;50;;;;;11/02/16 09:05;01/01/12 00:00;30/09/14 00:00;
Gemeente Zutphen;Aanleg Noorderhaven Zutphen;Contruction Noorderhaven;EFRO;;;;;;;;;;;;Met de aanleg van de nieuwe haven en boulevard wordt een verbinding gelegd tussen de rivier, de binnenstad en het nieuwe woongebied waarmee ook economische functies om het water heen mogelijk wordt gemaakt.;;500.000;5.835.520;;6.335.520;8;;;;;01/04/16 12:36;01/01/14 00:00;06/12/15 00:00;
Gemeente Enschede;Bereikbaarheid Stadsweide Fase II;Accessibility Stadsweide Fase II;EFRO;;;;;;;;;;;;Het herinrichten van de in het centrum gesitueerde Stadsweide (Enschede) tot een dusdanig niveau dat daarmee de bereikbaarheid en doorstroming van dat gebied - en daarmee de economische werklocaties voor de hele stad Enschede en de omliggende Euregio - structureel verbetert.;;2.000.000;2.007.698;;4.007.698;50;;;;;13/03/16 15:49;01/01/13 00:00;31/12/15 00:00;
Gemeente Enschede;Herstructurering Enschedese Binnenhaven;Redevelopment Enschedese Binnenhaven;EFRO;;;;;;;;;;;;De doelstelling van het project is de herstructurering van het Binnenhavengebied van Enschede, een deelgebied binnen de Haven. Deze herstructurering is een onderdeel van het Masterplan Havengebied Enschede. Het EFRO-deel beperkt zich tot de herinrichting en verbetering van de openbare ruimte.;;1.422.303;2.068.097;;3.490.400;41;;;;;11/02/16 09:05;01/01/10 00:00;31/12/15 00:00;
Gemeente Hengelo;Herstructurering Bedrijventerrein Twentekanaal fase 2-4;Redevelopment Industrialpark Twentekanaal fase 2-4;EFRO;;;;;;;;;;;;Het op onderdelen transformeren, herstructureren en revitaliseren van een gemengd regionaal bedrijventerrein van netto 370 ha. In dit deelproject ligt de nadruk op herprofileren van de hoofdinfrastructuur van het bedrijventerrein en aanpalende infrastructuur in deelgebieden.;;1.313.659;1.273.091;;2.586.750;51;;;;;11/02/16 09:05;01/01/09 00:00;31/12/14 00:00;
Stadsregio Arnhem Nijmegen;Station Nijmegen Goffert;Station Nijmegen Goffert;EFRO;;;;;;;;;;;;Bouw van een station Nijmegen-Goffert en verleggen van het fietspad als onderdeel van de snelfietsverbinding Nijmegen Wijchen. Met de aanleg van Station Goffert zal het gebied beter bereikbaar zijn voor forensen en daarmee ook een aantrekkelijk vestigingsklimaat zijn en blijven. Daarnaast ligt in het gebied park Goffert het voetbalstadion â€œde Goffertâ€ù en evenementen terrein â€œGoffertparkâ€ù. De aanleg van het station zal positief bijdrage aan het verwerken van piekbelastingen van het gebied. Met de aanleg van het station zal de snelfietsroute die langs het spoor loopt worden verschoven waardoor de bereikbaarheid van het gebied met de fiets wordt geoptimaliseerd.;;2.000.000;3.229.441;;5.229.441;38;;;;;14/03/16 08:42;01/01/14 00:00;30/06/15 00:00;
Gemeente Arnhem Dienst Stadsontwikkeling;Herinrichting Westervoortsedijk;Redevelopment Westervoortsedijk;EFRO;;;;;;;;;;;;Het verbeteren van de bereikbaarheid van het Centrum en het Regionale Bedrijventerrein Westervoortsedijk/â€™t Broek en verbetering het vestigingsklimaat voor ondernemers en de aantrekkelijkheid van het woonwerkmilieu door herinrichting van de Westervoortsedijk.;;270.000;428.600;;698.600;39;;;;;13/03/16 15:53;01/01/13 00:00;01/01/14 00:00;
Gemeente Overbetuwe;Bereikbaarheid bedrijventerreinen Elst Zuidoost;Emproving accessibility industrialpark Elst Zuidoost;EFRO;;;;;;;;;;;;Door de investeringen in het bedrijventerrein De Aam zal de bereikbaarheid en de mobiliteit aanzienlijk worden verbeterd waarmee ook de kwaliteit van werk- en leefomgeving wordt versterkt. Met het project wordt beoogd het vestigingsklimaat op hoog niveau te houden voor bestaande bedrijven en het terrein aantrekkelijk te laten zijn voor nieuwe (hoogwaardige) bedrijven.;;1.713.663;2.717.765;;4.431.428;39;;;;;16/03/16 18:38;01/01/13 00:00;01/08/15 00:00;
Gemeente Almelo;Kwaliteitsimpuls Binnenstad Almelo;Quality boost innercity Almelo;EFRO;;;;;;;;;;;;Met het uitvoeren van maatregelen de verblijfskwaliteit en het vestigingsklimaat in het kernwinkelgebied van Almelo structureel te verbeteren. Enerzijds door op korte termijn enkele concrete projecten realiseren, anderzijds is het streven om ontwikkelingen in gang te zetten die in de toekomst kunnen verder kunnen worden uitgewerkt.;;428.620;225.000;;653.620;66;;;;;16/03/16 18:42;01/01/13 00:00;31/12/15 00:00;
Mobiel Erfgoed Centrum;Trammuseum  onderdeel van het Mobiel Erfgoed Centrum;Trammuseum part of MEC;EFRO;;;;;;;;;;;;"Trammuseum RotterdamTot 2010 was het Tram Museum Rotterdam ondergebracht op de plek waar in 1904 de tramremise Delfshaven is gebouwd. Begin jaren â€™80 heeft de RET de vestiging als remise afgestoten en besloot de gemeente Rotterdam de remise te slopen en meer woningen en winkels te bouwen. Dankzij de inzet van de Tramweg Stichting, afdeling Rotterdam, kon echter een deel van de remise gespaard blijven en kon in september 1986 een bescheiden trammuseum voor publiek worden geopend.Toch was niet te voorkomen dat ook het laatste deel van de remise een andere bestemming zou gaan krijgen en in november 2010 zijn zowel de historische voertuigen als de verzamelingen overgebracht naar de de remise Hillegersberg. Alle historische Rotterdamse trams zijn nu onder Ã©Ã©n dak samengebracht in het Trammuseum.In de periode april t/m oktober is op elke eerste zaterdag van de maand tussen 11.00 uur en 17.00 uur het Trammuseum voor publiek geopend.Â In de maanden mei en juni is de tentoonstelling â€˜Trammend door de puinâ€™ te zien naar aanleiding van het feit dat 75 jaar geleden de binnenstad van Rotterdam is gebombardeerd.Met ingang van het seizoen 2015 zal een bezoek aan het trammuseum niet meer gratis zijn. Door de toenemende onderhoudskosten aan de trams zijn we genoodzaakt om voortaan 2 euro entree te berekenen. Kinderen t/m 12 jaar kunnen gratis naar binnen en aan kinderen van 13 t/m 17 jaar en 65+ vragen we 1 euro entree. Komt u met de speciaal op de open dagen ingelegde historische tram naar het museum dan betaalt u de normale prijs van â‚¬ 2,00 voor een dagkaart.Â Locatie Het Trammuseum Rotterdam is gevestigd in de remise Hillegersberg aan de Kootsekade 19 in Rotterdam en uitstekend bereikbaar met het openbaar vervoer. Vanaf Rotterdam Centraal neemt u tramlijn 4 (richting Molenlaan) of tramlijn 8 (richting Kleiweg). Stap uit bij halte Kootsekade. Komt u met de trein? Stap dan uit bij Rotterdam Noord. En wilt u met de bus komen? Buslijn 35 en 174 stoppen in de buurt. Kijk voor een reisadvies op www.ret.nl.MECHet Trammuseum is onderdeel van het project Mobiel Erfgoed Centrum. Het MEC heeft tot doel historische kennis te gebruiken voor nieuwe toepassingen en zo het mobiele erfgoed (trams, auto's en schepen) mobiel te houden. Het MEC is gevestigd op het binnenvaartschip De Geertruida in de Leuvenhaven. En op op vrijdag 8 mei te bezoeken tussen 10.00 en 17.00 uur.Â ";;30.000;;;;;;;;;11/02/16 09:05;01/01/13 00:00;04/05/15 00:00;
Waste of Electrical and Electronic Equipment Forum;Ontwikkeling van een kwaliteitslabel voor de inzameling en verwerking van e-afval;;LIFE;;;;;;;;;;;;"E-afval bestaat uit defecte en verouderde elektrische en elektronische toestellen, zoals computers, beeldschermen en gsm's. Ze bevatten schadelijke stoffen zoals zware metalen en PCB's. Er komt steeds meer e-afval en vaak is het moeilijk te recycleren. Het doel van dit project is een reeks overkoepelende normen te ontwikkelen voor de verwerking van e-afval op een milieuvriendelijke manier en in overeenstemming met de EU-wetgeving. De normen moeten het hele proces bestrijken, van inzameling en opslag tot transport en verwerking. Verwerkingsbedrijven die aan de normen voldoen, krijgen een certificaat. Het project wordt uitgevoerd door het WEEE Forum, een Europees samenwerkings- en kennisplatform van systemen voor e-afvalinzameling en -verwerking.";;532.300;;532.300;1.064.600;50;;;;;11/02/16 09:05;01/01/09 00:00;31/12/12 00:00;
Stichting Reinier de Graaf Groep;Een innovatief concept voor de verwerking van afval en afvalwater in ziekenhuizen;;LIFE;;;;;;;;;;;;"Pharmafilter is een nieuw concept voor de verwerking van afvalwater en organisch afval in ziekenhuizen. Het systeem werkt kostenbesparend, is gebruiksvriendelijk en beperkt het gevaar op besmetting van mensen en vervuiling van oppervlaktewater. Het systeem bestaat onder meer uit het gebruik van biologisch afbreekbare bedpannen en andere wegwerpartikelen, een vermalingsinstallatie voor afval en biologisch afbreekbaar plastic, een systeem voor energieterugwinning en een systeem voor de verwerking van afvalwater. Gebruikers van het systeem krijgen een opleiding. De verwachte resultaten zijn een vermindering van organisch afval met 70-80 procent, de productie van 20 000 mÂ_ biogas per 100 ton afval, een vermindering van residuen en endocriene disruptoren (lichaamsvreemde stoffen die het endocriene systeem van de mens ontregelen) in afvalwater met 80 procent, de volledige afwezigheid van virussen en bacteriÃ«n, en een verminderd risico op besmetting in een ziekenhuisomgeving.";;1.092.945;400.000;1.496.194;2.989.139;37;;;;;11/02/16 09:05;01/01/09 00:00;30/06/11 00:00;
Natuurpunt Beheer vzw;Herstel van Atlantische heidegebieden in Vlaanderen;;LIFE;;;;;;;;;;;;Heidegebieden behoren tot de belangrijkste landschappen langs de Atlantische kust van West-Europa. Er zijn verschillende heidelandschappen, onder meer natte heide, veengronden, schraal grasland en stuifzandgebieden. De bodem is relatief voedselarm en er komen heel specifieke dier- en plantensoorten voor. Door bebossing en landbouw zijn de meeste heidegebieden in de voorbije eeuwen verdwenen. Het doel van het project is het herstel, de ontwikkeling, de uitbreiding en de bescherming van heidegebieden in Vlaanderen. In totaal worden 40 ha aangekocht en 200 ha hersteld. Beheersmaatregelen zijn onder meer het verwijderen van ondergroei, grasplaggen en vreemde plantensoorten, duurzame begrazing en het aanbrengen van omheiningen. Het onderhoud van de natuurgebieden zal onder meer gebeuren door plaatselijke vrijwilligers.;;1.801.182;;1.801.182;3.602.364;50;;;;;11/02/16 09:05;01/01/09 00:00;31/12/13 00:00;
Vereniging Natuurmonumenten;Uitbreiding van zandverstuivingen in inlandse duingebieden;;LIFE;;;;;;;;;;;;De Loonse en Drunense Duinen is een nationaal park dat vooral wordt gekenmerkt door stuifzandgebieden. Doel van dit project is de stuifzandgebieden te onderhouden en uit te breiden van 465 tot 575 ha. Dat gebeurt door het duurzaam verwijderen van de bovenste bodemlaag en het rooien van bomen, zodat het zand en de wind opnieuw vrij spel krijgen. Intensievere begrazing met schapen moet voorkomen dat grassen en bomen opnieuw de bovenhand krijgen. Om de rust in het natuurpark te verzekeren worden nieuwe bezoekerszones aangelegd. In het stuifzandgebied zal zich een typische vegetatie ontwikkelen (korstmossen, buntgras) die vele insecten aantrekt, die dan weer het voedsel vormen voor bepaalde vogelsoorten (nachtzwaluw, tapuit, duinpieper, draaihals).;;880.878;;880.879;1.761.757;50;;;;;11/02/16 09:05;01/01/09 00:00;31/12/13 00:00;
Vlaamse Milieumaatschappij;Inventariseren van waterverontreiniging;;LIFE;;;;;;;;;;;;WEISS staat voor Water Emissions Inventory Planning Support System. De bedoeling van het project is een instrument te ontwikkelen waarmee in alle landen van de EU een inventaris kan worden gemaakt van waterverontreiniging. De verontreiniging wordt in kaart gebracht en de ernst ervan wordt bepaald. Vervolgens kan het systeem maatregelen voorstellen, zowel op beleids- als op technisch vlak, om de verontreiniging tegen te gaan. Overheden kunnen het systeem gebruiken als ondersteuning bij het invoeren van de kaderrichtlijn waterbeleid van de EU..;;468.517;515.911;;984.428;48;;;;;11/02/16 09:05;01/01/10 00:00;31/12/12 00:00;
